"decimallongitude","decimallatitude","year","stateprovince"
-72.07358,41.54892,2002,"Connecticut"
-73.11283,41.35733,2004,"Connecticut"
-72.51183,41.51583,2004,"Connecticut"
-73.0089,41.3525,1956,"Connecticut"
-73.1666,41.7094,2005,"Connecticut"
-73.113833,41.567183,2006,"Connecticut"
-72.51317,41.50533,2008,"Connecticut"
-72.1232,41.351,2003,"Connecticut"
-80,37.3483,1974,"Virginia"
-95.6008,33.1383,1936,"Texas"
-97.1078,32.75,1968,"Texas"
-72.99110594,41.323803,2014,"Connecticut"
-97.144453,33.191738,1966,"Texas"
-100.12611,32.387855,1973,"Texas"
-97.03741,33.161839,1969,"Texas"
-97.81033,33.677116,1968,"Texas"
-97.849265,32.429387,1970,"Texas"
-98.26889,32.677417,1969,"Texas"
-98.245054,33.2183,1970,"Texas"
-96.89778,31.30611,1966,"Texas"
-96.062412,33.737724,1969,"Texas"
-100.434957,31.715922,1969,"Texas"
-96.132245,32.281543,1970,"Texas"
-96.006047,32.270661,1970,"Texas"
-93.958398,31.665054,1969,"Texas"
-97.84833,33.708339,1968,"Texas"
-97.848876,33.68436,1968,"Texas"
-94.175258,32.737874,1968,"Texas"
-94.175258,32.737874,1968,"Texas"
-97.442664,33.260873,1968,"Texas"
-97.160933,33.211273,1966,"Texas"
-100.354286,31.816206,1975,"Texas"
-97.03741,33.161839,1969,"Texas"
-97.443087,33.063381,1969,"Texas"
-96.010872,33.497323,1969,"Texas"
-100.580444,31.373663,1973,"Texas"
-91.043817,33.330866,1990,"Mississippi"
-97.095603,33.165718,1969,"Texas"
-97.144453,33.191738,1966,"Texas"
-101.822491,33.592045,1968,"Texas"
-99.284231,32.374455,1970,"Texas"
-100.484362,31.880219,1975,"Texas"
-97.144453,33.191738,1966,"Texas"
-97.534846,33.278383,1968,"Texas"
-97.75444,33.21,1968,"Texas"
-82.092534,30.067596,1969,"Florida"
-82.460933,29.049143,1967,"Florida"
-83.189409,35.054253,1976,"North Carolina"
-69.825001,45.277823,2003,"Maine"
-95.623708,29.791262,1972,"Texas"
-84.321619,30.45981,1965,"Florida"
NA,NA,1966,"Oklahoma"
NA,NA,1968,"Oklahoma"
NA,NA,1976,"North Carolina"
NA,NA,1941,"Ontario"
73.872592,41.348897,1963,"New York"
-97.738817,30.333912,1963,"Texas"
-94.430764,31.107304,1972,"Texas"
-97.03741,33.161839,1966,"Texas"
-97.845017,32.547504,1970,"Texas"
-95.05662,33.697474,1969,"Texas"
-97.442664,33.260873,1968,"Texas"
-100.388137,31.832882,1975,"Texas"
-99.116574,30.581793,1972,"Texas"
-97.220714,33.298355,1965,"Texas"
-94.88167,33.392661,1967,"Texas"
-97.144453,33.191738,1963,"Texas"
-97.79815,33.221866,1969,"Texas"
-97.845017,32.547504,1970,"Texas"
-98.951153,30.737678,1972,"Texas"
-96.892403,33.030783,1964,"Texas"
-97.899828,33.661864,1968,"Texas"
-98.087195,32.661385,1969,"Texas"
-97.118017,33.319497,1970,"Texas"
-99.2825,30.872359,1973,"Texas"
-98.167956,32.617942,1969,"Texas"
-100.388137,31.832882,1975,"Texas"
-95.907659,33.684234,1969,"Texas"
-98.21082,32.618242,1969,"Texas"
-95.765175,30.098128,1959,"Texas"
-94.88167,33.392661,1967,"Texas"
-100.580444,31.373663,1973,"Texas"
-94.158599,32.743826,1970,"Texas"
-99.253731,30.918249,1973,"Texas"
-95.906972,33.693661,1969,"Texas"
-96.157343,33.77929,1969,"Texas"
-97.530163,33.571291,1969,"Texas"
-100.504009,31.888431,1975,"Texas"
-100.240922,31.852669,1967,"Texas"
-93.828528,31.717709,1969,"Texas"
-94.158599,32.743826,1970,"Texas"
-100.12611,32.387855,1973,"Texas"
-95.109171,33.856635,1969,"Texas"
-94.158599,32.743826,1970,"Texas"
-97.03741,33.161839,1969,"Texas"
-97.664949,33.595069,1968,"Texas"
-78.1364,39.432,2000,"West Virginia"
-120.44666,39.69566,2013,"California"
-86.219244,39.1459167,2010,"Indiana"
-95.26,40.062,2015,"Missouri"
-120.46666,39.716666,2012,"California"
-76.4815807,42.3083153,1971,"New York"
-120.4343712,39.6960295,2012,"California"
-76.4374457,42.5034956,2013,"New York"
-96.88475,35.92903,2014,"Oklahoma"
-97.460012,35.181651,2014,"Oklahoma"
-97.460012,35.181651,2014,"Oklahoma"
-97.39089,35.21147,2015,"Oklahoma"
-97.39082,35.21148,2015,"Oklahoma"
-97.39037,35.21153,2015,"Oklahoma"
-97.39037,35.21153,2015,"Oklahoma"
-97.39036,35.2115,2015,"Oklahoma"
-97.39036,35.21107,2015,"Oklahoma"
-97.39058,35.21137,2015,"Oklahoma"
-97.39058,35.21137,2015,"Oklahoma"
-97.25175,35.11789,2015,"Oklahoma"
-97.25195,35.11775,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
